file,targets,destoryed,wheredestroyed,missionsuccess,decisionTimeAvg,decisionTimeVar,seed,scenario
csv,4,0,39,0,39985.3,1.74444e+09,19,env
csv,4,0,39,0,46278.4,2.41913e+09,25,env
csv,6,0,39,0,40020,1.77071e+09,22,env
csv,3,0,39,0,37904,1.52956e+09,21,env
csv,5,0,39,0,50343.3,3.23327e+09,26,env
csv,10,0,39,1,47213.7,3.04468e+09,17,env
csv,6,0,39,0,46494,2.30262e+09,18,env
csv,9,0,39,0,58327,3.66009e+09,16,env
csv,5,0,39,0,42513.4,1.93376e+09,23,env
csv,10,0,39,1,40631.8,1.79602e+09,20,env
csv,4,0,39,0,45972.8,2.42128e+09,26,nodec2
csv,10,0,39,1,29528.9,9.81288e+08,17,nodec2
csv,8,0,39,0,30172.9,1.06072e+09,16,nodec2
csv,6,0,39,0,33193.4,1.22671e+09,18,nodec2
csv,6,0,39,0,39357.8,1.89149e+09,23,nodec2
csv,5,0,39,0,32597.9,1.25875e+09,25,nodec2
csv,3,0,39,0,36064.6,1.63992e+09,21,nodec2
csv,2,0,39,0,31211.7,1.31594e+09,19,nodec2
csv,7,0,39,0,38034.2,1.81958e+09,20,nodec2
csv,5,0,39,0,36235.9,1.48816e+09,22,nodec2
csv,6,0,39,0,43053.6,2.19546e+09,22,nosurv
csv,3,0,39,0,36106.6,1.43676e+09,19,nosurv
csv,4,0,39,0,40990.2,1.86511e+09,25,nosurv
csv,5,0,39,0,41680.3,1.83349e+09,23,nosurv
csv,10,0,39,1,39215.4,1.67535e+09,17,nosurv
csv,3,0,39,0,40747,1.8696e+09,21,nosurv
csv,5,0,39,0,38827.2,1.61026e+09,18,nosurv
csv,10,0,39,1,39613.9,1.69819e+09,20,nosurv
csv,3,0,39,0,45104.3,2.23879e+09,26,nosurv
csv,11,0,39,1,41514.6,2.03665e+09,16,nosurv
csv,12,0,39,1,1.70545e+06,3.0587e+12,0,20,pmc
csv,5,0,39,0,1.67972e+06,2.97117e+12,0,21,pmc
csv,9,0,39,0,1.67621e+06,2.96549e+12,0,18,pmc
csv,6,0,39,0,1.68205e+06,3.03062e+12,0,19,pmc
csv,11,0,39,1,1.46915e+06,2.20887e+12,0,17,pmc
csv,12,0,39,1,1.46301e+06,2.16827e+12,0,16,pmc
csv,7,0,39,0,1.42884e+06,2.07355e+12,0,25,pmc
csv,8,0,39,0,1.42922e+06,2.07326e+12,0,23,pmc
csv,6,0,39,0,1.68896e+06,2.97741e+12,0,22,pmc
csv,8,0,39,0,1.45192e+06,2.12601e+12,0,26,pmc
csv,6,0,39,0,267742,7.72374e+10,22,scratch
csv,5,0,39,0,253692,6.95136e+10,19,scratch
csv,5,0,39,0,326722,1.12119e+11,26,scratch
csv,5,0,39,0,277759,8.31597e+10,23,scratch
csv,10,0,39,1,278065,8.32431e+10,20,scratch
csv,10,0,39,1,262444,7.34781e+10,17,scratch
csv,4,0,39,0,258159,7.04038e+10,25,scratch
csv,10,0,39,1,289377,8.97923e+10,16,scratch
csv,3,0,39,0,279995,8.53839e+10,21,scratch
csv,6,0,39,0,289077,8.91814e+10,18,scratch
